X,Y,SP_ID,CVEGEO,Den2012,Den2013,Den2014,Den2015
226467.234579734,2313494.69287416,"396","3105000015437",0,1,0,0
227717.768637702,2312538.33408035,"397","3105000015441",0,0,0,1
223971.344463376,2314706.42307437,"398","3105000015456",1,0,0,3
223955.852533454,2332137.7864745,"399","3105000015460",0,0,0,0
224792.085352676,2332027.24942661,"400","3105000015475",0,0,1,1
219144.624652043,2318990.60576661,"401",310500001548A,1,0,1,0
219929.615920754,2318114.73434252,"402","3105000015494",3,13,4,3
229769.043836946,2329268.32197809,"403","3105000015507",0,0,0,0
220909.882289478,2318882.18772469,"404","3105000015511",2,2,0,1
223887.024867529,2328099.19517556,"405","3105000015526",0,0,1,1
218933.953329436,2325235.96578749,"406","3105000015579",5,4,1,5
231647.659836697,2326657.81002416,"407","3105000015583",5,0,0,2
230917.12991787,2326568.93127436,"408","3105000015598",7,2,0,1
230902.497789032,2327536.30357404,"409","3105000015600",2,2,0,0
227165.803390718,2311603.89586945,"410",310500001562A,10,3,5,8
222220.64183993,2322850.68112437,"411","3105000015634",21,18,2,4
222089.212382176,2322136.98263082,"412","3105000015649",16,11,3,5
217293.865896557,2325093.61409318,"413","3105000015672",0,0,2,0
217599.052730598,2325003.38272439,"414","3105000015687",3,1,1,1
217923.801839171,2324943.39642429,"415","3105000015691",5,0,3,0
218210.30613319,2324788.96642449,"416","3105000015704",2,1,0,0
218593.750806874,2324685.72317414,"417","3105000015719",1,0,2,2
218985.655755902,2324630.51057434,"418","3105000015723",0,0,0,4
219299.91613028,2324543.92477461,"419","3105000015738",2,3,3,3
219694.178194091,2324659.64762399,"420","3105000015742",10,7,4,4
220250.636237067,2324633.51627486,"421","3105000015757",28,10,3,3
221438.848648771,2324065.51860447,"422","3105000015761",13,14,0,4
220703.99405047,2325363.9817998,"423","3105000015776",14,6,2,4
217944.113653506,2324162.01559881,"424","3105000015780",0,0,6,4
218369.538774115,2323933.92515643,"425","3105000015795",0,1,5,2
218726.529168127,2323704.39655426,"426","3105000015808",0,10,4,3
219153.218860169,2323579.01477179,"427","3105000015812",2,18,6,6
219515.081762794,2323384.62046896,"428","3105000015827",1,3,1,5
